# {"t_start": 1546767752.8316886, "env_id": "Pap-v0"} 
r,l,t
47.750261,100,130.266268
47.914135,100,130.3632
49.569512,100,130.461132
45.669444,100,130.558064
48.922308,100,132.066024
52.894884,100,132.164931
49.554343,100,132.262864
48.646451,100,132.360793
47.432554,100,132.457727
46.558433,100,132.554657
41.619932,100,132.65159
48.707227,100,132.748522
49.601175,100,132.846452
51.392875,100,132.951377
48.59271,100,133.050309
50.475746,100,133.14724
50.619464,100,133.244172
49.326087,100,133.342103
49.919981,100,133.438035
48.356414,100,133.535967
51.102002,100,133.632899
46.736177,100,133.730831
51.101391,100,133.827761
51.268461,100,133.925692
47.692768,100,135.427636
52.52597,100,135.526566
49.282362,100,135.623498
46.116843,100,135.71943
49.272711,100,135.81636
49.498217,100,135.914293
49.702956,100,136.011224
50.509183,100,136.113152
51.190402,100,136.209085
50.268051,100,136.308015
48.178399,100,136.403948
49.666692,100,136.502879
50.757987,100,136.599811
52.697857,100,136.696742
48.718469,100,136.794673
50.371135,100,136.892604
49.795876,100,136.990535
51.595637,100,137.090464
51.567671,100,137.189394
47.636133,100,137.287328
49.376528,100,137.384257
48.136688,100,138.8862
51.941017,100,138.984132
51.106366,100,139.082064
53.603151,100,139.178994
49.594552,100,139.274927
51.968518,100,139.371859
48.77906,100,139.468789
53.421,100,139.56673
49.314041,100,139.663653
48.967922,100,139.761585
49.700389,100,139.858518
48.345835,100,139.958447
51.00056,100,140.056376
51.463496,100,140.163301
49.051422,100,140.261233
49.7239,100,140.358165
52.035136,100,140.455096
49.541079,100,140.551043
48.559312,100,140.64896
49.884132,100,140.747889
50.011938,100,142.242838
50.945699,100,142.342775
53.128242,100,142.439699
50.740726,100,142.535632
50.134811,100,142.632564
49.742429,100,142.730495
51.548138,100,142.827425
53.156318,100,142.925357
52.387265,100,143.021295
50.432939,100,143.12022
50.630729,100,143.218152
51.237241,100,143.314083
52.078005,100,143.410015
52.774574,100,143.505948
53.483634,100,143.605878
52.741957,100,143.702811
50.571044,100,143.799742
51.208845,100,143.896674
50.761539,100,143.993606
50.023465,100,144.092534
52.394159,100,144.190467
53.433499,100,145.715405
50.088704,100,145.813325
54.32996,100,145.913253
50.422399,100,146.012184
52.441354,100,146.110115
52.704635,100,146.208047
53.764525,100,146.30498
51.612112,100,146.40291
53.038869,100,146.499842
52.832292,100,146.598772
53.273942,100,146.694703
50.189442,100,146.791635
51.511798,100,146.889566
51.337789,100,146.985499
54.42272,100,147.081432
52.431956,100,147.180362
48.172614,100,147.278293
52.804542,100,147.375225
52.117051,100,147.472156
51.445763,100,147.568088
51.283016,100,149.076027
52.4685,100,149.174959
54.640116,100,149.27189
54.348919,100,149.369821
52.209449,100,149.466751
53.103401,100,149.563684
53.021637,100,149.663612
49.715211,100,149.764543
53.743644,100,149.863472
55.57424,100,149.964401
52.3514,100,150.066332
54.108047,100,150.165261
54.824136,100,150.264192
54.576903,100,150.363122
52.789215,100,150.461051
52.330683,100,150.558983
52.847633,100,150.657914
51.699687,100,150.756845
51.073164,100,150.854775
53.174589,100,150.954705
49.81367,100,151.053635
52.33923,100,152.56657
52.695875,100,152.6655
53.012547,100,152.764432
54.130737,100,152.863361
52.224456,100,152.962291
50.952173,100,153.058224
55.764961,100,153.156155
54.504616,100,153.255085
53.110927,100,153.355015
53.632382,100,153.454944
53.914958,100,153.554874
52.511948,100,153.652805
55.468449,100,153.751735
51.825151,100,153.848667
50.832493,100,153.948598
55.265824,100,154.046529
51.316251,100,154.145458
53.595126,100,154.243391
54.496411,100,154.340323
53.299218,100,154.437253
51.720154,100,155.956184
53.896794,100,156.054114
53.290062,100,156.154044
51.191755,100,156.251976
53.314447,100,156.349906
50.885917,100,156.446838
55.271765,100,156.543771
54.084881,100,156.640703
54.938879,100,156.738634
52.263415,100,156.835566
52.151412,100,156.934496
53.560273,100,157.031428
53.720962,100,157.12936
54.695157,100,157.22629
53.785429,100,157.324221
53.195575,100,157.421153
54.224236,100,157.518085
53.323061,100,157.615016
53.005447,100,157.714945
56.051191,100,157.812877
54.067441,100,157.912807
49.946309,100,159.425751
51.319821,100,159.525671
50.616467,100,159.624602
52.980874,100,159.722532
50.5687,100,159.821464
50.314365,100,159.920393
53.844771,100,160.019323
53.071733,100,160.117255
52.185227,100,160.216186
56.138979,100,160.314117
54.364863,100,160.411048
53.401699,100,160.50798
54.004163,100,160.604911
52.539939,100,160.701847
54.281409,100,160.799773
52.891137,100,160.900705
54.848987,100,160.997634
52.906593,100,161.094566
53.141257,100,161.192498
53.666594,100,161.289431
51.011031,100,162.788375
52.911203,100,162.888305
53.885269,100,162.985237
54.474699,100,163.082167
52.655414,100,163.179099
53.627879,100,163.276031
54.980246,100,163.373961
54.970519,100,163.471893
54.266398,100,163.570824
