# {"t_start": 1546857630.5430043, "env_id": "OneShotGo-v0"} 
r,l,t
64.210403,100,120.427302
64.51739,100,120.52723
64.636996,100,120.627161
64.10514,100,120.724094
63.090243,100,120.821024
64.392798,100,120.920955
63.918129,100,121.017898
63.113881,100,121.114819
65.045552,100,121.213749
63.985719,100,121.31168
62.836091,100,121.408613
63.878732,100,121.506542
64.066421,100,121.604475
65.127732,100,121.702405
63.577162,100,121.799335
63.350754,100,121.899266
64.75976,100,121.996197
65.127732,100,123.543109
63.741521,100,123.643038
63.232749,100,123.74097
64.719175,100,123.8399
63.803324,100,123.93883
65.086137,100,124.036763
65.045552,100,124.133702
64.071407,100,124.23762
62.64426,100,124.335551
64.801354,100,124.433483
65.045552,100,124.531414
65.045552,100,124.629345
65.127732,100,124.727274
64.476454,100,124.825207
63.104832,100,124.924136
64.801354,100,125.022068
63.783934,100,125.119
63.2506,100,125.21693
63.557649,100,125.315859
63.719372,100,125.413792
64.191013,100,125.511724
64.801354,100,127.022659
64.180856,100,127.122589
63.745029,100,127.22052
63.632995,100,127.319449
63.8237,100,127.416381
64.191013,100,127.514314
63.83478,100,127.612244
65.127732,100,127.709176
63.560973,100,127.808106
65.127732,100,127.905037
64.374454,100,128.00297
64.801354,100,128.099901
65.127732,100,128.196832
64.160357,100,128.294765
64.599569,100,128.393694
65.045552,100,128.490625
64.801354,100,128.589558
64.273192,100,128.687488
64.342444,100,128.785419
63.875839,100,128.882351
63.967375,100,130.383292
64.599569,100,130.484223
64.317021,100,130.584151
65.127732,100,130.682084
64.507233,100,130.780014
61.665374,100,130.889936
63.959434,100,130.993863
64.51739,100,131.093792
64.394275,100,131.193722
64.571437,100,131.292655
63.619452,100,131.390584
65.045552,100,131.490514
64.491536,100,131.600439
64.513697,100,131.707374
63.998153,100,131.806292
65.127732,100,131.904223
64.405355,100,132.004154
62.927565,100,132.12207
65.045552,100,132.222997
63.946814,100,132.325926
64.536781,100,132.462829
63.843909,100,133.999748
63.457679,100,134.100676
64.732572,100,134.201606
64.719175,100,134.300536
64.963373,100,134.398468
65.127732,100,134.497396
63.778763,100,134.596326
64.161157,100,134.69526
64.210403,100,134.79319
63.851339,100,134.89112
63.864635,100,135.009038
63.985226,100,135.109967
63.854478,100,135.210895
63.732225,100,135.310824
63.66285,100,135.408757
63.433549,100,135.508685
64.435211,100,135.607616
65.127732,100,135.707552
63.8237,100,135.806475
64.150077,100,135.906405
65.127732,100,137.444323
64.413974,100,137.545252
64.210403,100,137.645181
65.045552,100,137.745111
64.801354,100,137.84504
64.801354,100,137.943972
64.405355,100,138.042902
64.175008,100,138.140833
64.801354,100,138.238763
64.405355,100,138.338694
64.801354,100,138.436624
65.003958,100,138.534556
64.719175,100,138.633486
64.390459,100,138.731417
64.474977,100,138.831346
64.392798,100,138.928279
65.127732,100,139.027208
64.078978,100,139.12614
64.513697,100,139.226069
63.664266,100,139.324001
64.476454,100,139.421931
64.801354,100,140.935865
63.232749,100,141.034796
64.312096,100,141.133725
64.801354,100,141.232657
64.394275,100,141.332585
63.836257,100,141.430517
64.150077,100,141.528446
64.078978,100,141.626383
64.1486,100,141.724309
63.547122,100,141.822241
64.801354,100,141.919173
63.860942,100,142.017103
63.453863,100,142.116035
63.926439,100,142.215965
65.127732,100,142.314895
63.44506,100,142.412825
64.150077,100,142.510756
65.127732,100,142.608688
63.367744,100,142.707618
65.045552,100,142.806548
63.649923,100,144.336471
63.229363,100,144.442396
64.22844,100,144.543327
64.527116,100,144.641257
65.127732,100,144.741186
64.433383,100,144.842115
64.392798,100,144.941047
64.474977,100,145.038976
64.801354,100,145.135909
64.530009,100,145.234839
63.767929,100,145.331771
64.963373,100,145.431701
63.948292,100,145.529632
63.877255,100,145.627562
64.599569,100,145.726493
63.814404,100,145.825423
64.801354,100,145.924352
64.403078,100,146.024284
64.098677,100,146.123213
64.623576,100,146.222143
64.801354,100,146.321076
64.150077,100,147.859991
63.63393,100,147.958922
64.026654,100,148.056853
65.127732,100,148.154784
63.647153,100,148.254712
64.963373,100,148.352644
64.476454,100,148.449576
63.783934,100,148.547507
64.043275,100,148.646437
65.045552,100,148.746366
65.045552,100,148.845297
64.392798,100,148.944227
65.127732,100,149.044157
64.719175,100,149.142088
64.349338,100,149.242017
64.489258,100,149.340947
65.127732,100,149.438894
64.51739,100,149.53781
64.476454,100,149.635739
65.045552,100,149.73467
62.414774,100,151.25161
63.959372,100,151.354532
64.719175,100,151.453462
65.127732,100,151.550394
64.150077,100,151.648325
64.2498,100,151.747253
63.488415,100,151.845184
65.127732,100,151.944116
64.963373,100,152.041048
64.487535,100,152.13898
65.045552,100,152.23691
64.507233,100,152.336839
64.210403,100,152.43477
64.427898,100,152.532702
64.719175,100,152.629633
64.363761,100,152.728563
63.263158,100,152.826495
63.866113,100,152.924426
64.801354,100,153.021373
64.210403,100,153.11929
64.273192,100,153.21822
64.801354,100,154.724159
64.474977,100,154.822091
63.884026,100,154.920021
64.52847,100,155.018951
64.438596,100,155.115883
64.801354,100,155.214813
64.599569,100,155.314744
64.963373,100,155.412674
64.13715,100,155.510605
64.454601,100,155.608536
65.127732,100,155.706467
63.4988,100,155.807396
65.127732,100,155.906328
64.801354,100,156.004258
64.474977,100,156.10219
63.877193,100,156.20012
64.719175,100,156.299049
63.50988,100,156.395982
64.150077,100,156.493913
64.716836,100,156.591845
65.127732,100,158.227691
63.547122,100,158.328623
64.771314,100,158.431549
64.801354,100,158.532478
63.884026,100,158.632407
64.963373,100,158.732336
65.127732,100,158.834265
64.405355,100,158.932196
65.127732,100,159.031127
65.127732,100,159.131056
64.668821,100,159.232984
65.045552,100,159.334912
63.050477,100,159.434843
64.536781,100,159.533773
65.045552,100,159.630703
64.405355,100,159.731635
64.719175,100,159.829564
64.684518,100,159.930495
64.599569,100,160.028424
62.895845,100,160.125355
65.045552,100,160.228283
63.550816,100,161.883118
63.865805,100,161.983048
64.161157,100,162.081978
64.1486,100,162.17891
64.801354,100,162.281838
64.565405,100,162.379768
64.618221,100,162.478699
64.668821,100,162.574631
63.823041,100,162.672563
64.175008,100,162.773492
63.551739,100,162.87642
64.155002,100,162.975349
63.020622,100,163.074281
62.770391,100,163.17321
63.69683,100,163.273139
63.57667,100,163.371071
64.618652,100,163.470001
65.045552,100,163.568932
63.925208,100,163.667862
64.963373,100,163.766792
63.946445,100,165.317702
64.150077,100,165.416631
63.682241,100,165.514562
63.691167,100,165.613494
64.312096,100,165.714421
64.636996,100,165.816351
64.108834,100,165.921277
64.048015,100,166.018207
64.474977,100,166.116138
64.071407,100,166.217068
64.719175,100,166.314999
65.127732,100,166.41193
63.896276,100,166.51086
64.801354,100,166.609791
64.963373,100,166.707722
63.218283,100,166.850622
62.416928,100,166.960545
63.469868,100,167.060475
62.717759,100,167.158406
64.405355,100,167.256337
64.203632,100,167.356266
64.210403,100,168.875197
64.636996,100,168.974129
64.161157,100,169.073059
63.880886,100,169.17099
63.877193,100,169.276915
64.394275,100,169.374846
65.045552,100,169.473775
65.045552,100,169.571707
64.587565,100,169.668638
63.69486,100,169.76757
64.312096,100,169.8665
63.745029,100,169.964432
64.285811,100,170.062362
64.161157,100,170.160293
64.963373,100,170.259225
65.127732,100,170.358154
64.599569,100,170.456086
64.51739,100,170.555015
64.612188,100,170.651947
64.501385,100,170.748877
64.612188,100,172.25282
64.801354,100,172.353748
64.392798,100,172.45368
65.045552,100,172.55061
63.416621,100,172.650541
64.801354,100,172.749474
64.10514,100,172.8484
64.331794,100,172.947329
64.067898,100,173.046261
64.801354,100,173.144192
64.513697,100,173.243123
64.801354,100,173.342052
64.413974,100,173.439985
64.454601,100,173.537914
63.670422,100,173.635845
64.202721,100,173.734776
63.438861,100,173.832706
63.204678,100,173.930639
64.13715,100,174.02857
64.51739,100,174.1265
65.045552,100,174.224432
64.801354,100,175.743363
63.75377,100,175.842294
64.801354,100,175.940223
63.670422,100,176.040153
64.719175,100,176.138085
64.476454,100,176.237016
65.127732,100,176.334947
63.814281,100,176.432878
64.719175,100,176.530808
65.045552,100,176.628741
64.1486,100,176.727669
64.394275,100,176.824602
64.078978,100,176.923532
64.612188,100,177.021463
64.719175,100,177.119408
65.045552,100,177.219325
64.476454,100,177.317254
64.078978,100,177.415185
64.067898,100,177.513116
63.841244,100,177.612047
63.580671,100,179.122985
64.963373,100,179.222912
64.310619,100,179.322854
63.867036,100,179.421774
64.454601,100,179.520704
64.161157,100,179.618636
63.225916,100,179.716565
64.392798,100,179.814497
63.295537,100,179.912428
64.576177,100,180.010358
63.844875,100,180.109289
64.801354,100,180.213217
63.778763,100,180.316154
64.119914,100,180.414075
65.127732,100,180.513005
64.599569,100,180.609936
64.618221,100,180.707868
62.761157,100,180.8058
62.866605,100,180.904729
63.682241,100,181.002659
65.045552,100,182.518594
63.255217,100,182.618522
64.394275,100,182.719451
63.4988,100,182.818381
63.945091,100,182.917314
64.048015,100,183.015243
63.691167,100,183.113174
63.526808,100,183.212104
65.045552,100,183.310035
64.191013,100,183.407967
64.554817,100,183.504899
64.1486,100,183.602831
63.170945,100,183.70176
63.652693,100,183.800689
64.191013,100,183.899621
64.474977,100,183.997552
64.281933,100,184.095481
63.550877,100,184.195412
64.636996,100,184.294343
64.078978,100,184.392273
64.043275,100,184.490206
65.044543,100,186.000143
63.8237,100,186.100073
63.902124,100,186.200002
64.1486,100,186.297932
62.662111,100,186.395864
64.187319,100,186.493795
64.022961,100,186.591725
63.211881,100,186.690657
64.454601,100,186.788587
64.576177,100,186.888518
63.949523,100,186.986448
64.310619,100,187.084378
62.899538,100,187.182311
63.877255,100,187.28224
64.150077,100,187.380172
63.4988,100,187.478101
63.550816,100,187.576032
62.322499,100,187.675963
64.191013,100,187.773895
64.22844,100,187.873824
63.91265,100,189.425732
64.589917,100,189.526661
64.406194,100,189.625591
64.636996,100,189.724521
64.273192,100,189.825449
63.440074,100,189.924379
62.658541,100,190.024309
64.636996,100,190.12324
64.554817,100,190.224168
63.621914,100,190.328095
64.310619,100,190.429024
64.310619,100,190.528964
65.127732,100,190.629883
64.474977,100,190.729813
64.150077,100,190.831741
64.187319,100,190.93167
64.433383,100,191.079566
65.045552,100,191.178496
63.965836,100,191.283422
63.213358,100,191.383352
63.948292,100,191.484281
64.229917,100,192.996218
64.128224,100,193.096148
62.904525,100,193.197076
64.636996,100,193.296006
63.53081,100,193.394946
64.066421,100,193.494866
64.152662,100,193.592799
65.127732,100,193.68974
63.497322,100,193.78766
64.719175,100,193.901581
63.846291,100,194.000511
64.963373,100,194.097443
63.330625,100,194.196373
65.127732,100,194.295303
64.719175,100,194.393234
65.127732,100,194.491166
63.320468,100,194.588096
64.108834,100,194.689037
64.10988,100,194.788956
64.310619,100,194.888885
63.580671,100,196.410814
63.10514,100,196.513741
63.391382,100,196.616669
65.127732,100,196.715599
64.150077,100,196.81453
62.712896,100,196.91446
